2023 Lower Weather Meterological Hourly Data (Summary),,
,,
Reference Dataset with the following format:,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",
1/2/2023 11:30,212.4,-1.464
1/2/2023 11:45,212.4,-1.666
1/2/2023 12:00,212.2,-1.252
1/2/2023 12:15,212.3,-2.284
1/2/2023 12:30,212.3,-2.082
1/2/2023 12:45,212.3,-1.494
1/2/2023 13:00,212.2,-2.051
1/2/2023 13:15,212.1,-1.646
1/2/2023 13:30,212.1,-1.2
1/2/2023 13:45,212.1,-0.876
1/2/2023 14:00,211.9,-1.028
1/2/2023 14:15,212.1,-0.422
1/2/2023 14:30,212.1,-0.604
1/2/2023 14:45,212,-1.028
1/2/2023 15:00,212,-0.665
1/2/2023 15:15,212.1,-0.846
1/2/2023 15:30,211.8,-0.988
1/2/2023 15:45,212,-1.292
1/2/2023 16:00,212.1,-1.048
1/2/2023 16:15,212.1,-1.15
1/2/2023 16:30,212.1,-1.96
1/2/2023 16:45,212.1,-2.102
1/2/2023 17:00,212.1,-2.405
1/2/2023 17:15,212.1,-3.034
1/2/2023 17:30,212.1,-3.439
1/2/2023 17:45,212.1,-3.986
1/2/2023 18:00,212.1,-5.324
1/2/2023 18:15,212.2,-5.314
1/2/2023 18:30,212.2,-5.071
1/2/2023 18:45,212.2,-4.98
1/2/2023 19:00,212.2,-4.624
1/2/2023 19:15,212.2,-4.624
1/2/2023 19:30,212.3,-4.636
1/2/2023 19:45,212.3,-4.34
1/2/2023 20:00,212.3,-4.068
1/2/2023 20:15,212.3,-3.956
1/2/2023 20:30,212.3,-3.632
1/2/2023 20:45,212.3,-3.764
1/2/2023 21:00,212.3,-3.418
1/2/2023 21:15,212.3,-3.642
1/2/2023 21:30,212.3,-3.662
1/2/2023 21:45,212.3,-3.601
1/2/2023 22:00,212.3,-3.499
1/2/2023 22:15,212.3,-3.317
1/2/2023 22:30,212.3,-3.104
1/2/2023 22:45,212.3,-3.074
1/2/2023 23:00,212.3,-2.932
1/2/2023 23:15,212.3,-3.327
1/2/2023 23:30,212.3,-3.288
1/2/2023 23:45,212.3,-3.298
1/3/2023 0:00,212.3,-3.408
1/3/2023 0:15,212.3,-2.456
1/3/2023 0:30,212.3,-1.99
1/3/2023 0:45,212.3,-2.81
1/3/2023 1:00,212.3,-2.669
1/3/2023 1:15,212.2,-3.439
1/3/2023 1:30,212.2,-4.21
1/3/2023 1:45,212.3,-3.682
1/3/2023 2:00,212.3,-3.125
1/3/2023 2:15,212.3,-2.851
1/3/2023 2:30,212.3,-2.953
1/3/2023 2:45,212.3,-2.892
1/3/2023 3:00,212.3,-3.216
1/3/2023 3:15,212.3,-3.946
1/3/2023 3:30,212.4,-3.925
1/3/2023 3:45,212.4,-3.116
1/3/2023 4:00,212.3,-5.922
1/3/2023 4:15,212.3,-6.44
1/3/2023 4:30,212.3,-7.171
1/3/2023 4:45,212.3,-6.684
1/3/2023 5:00,212.3,-6.014
1/3/2023 5:15,212.3,-5.932
1/3/2023 5:30,212.3,-5.913
1/3/2023 5:45,212.3,-5.436
1/3/2023 6:00,212.3,-5.101
1/3/2023 6:15,212.3,-4.636
1/3/2023 6:30,212.4,-4.878
1/3/2023 6:45,212.3,-5.385
1/3/2023 7:00,212.4,-5.254
1/3/2023 7:15,212.3,-5.122
1/3/2023 7:30,212.3,-5.487
1/3/2023 7:45,212.3,-4.889
1/3/2023 8:00,212.3,-4.371
1/3/2023 8:15,212.4,-4.006
1/3/2023 8:30,212.4,-4.636
1/3/2023 8:45,212.4,-5
1/3/2023 9:00,212.4,-5.071
1/3/2023 9:15,212.4,-5.061
1/3/2023 9:30,212.4,-4.96
1/3/2023 9:45,212.5,-4.787
1/3/2023 10:00,212.4,-4.473
1/3/2023 10:15,212.4,-3.51
1/3/2023 10:30,212.4,-3.48
1/3/2023 10:45,212.4,-3.611
1/3/2023 11:00,212.4,-3.236
1/3/2023 11:15,212.3,-3.064
1/3/2023 11:30,212.4,-2.446
1/3/2023 11:45,212.4,-1.554
1/3/2023 12:00,212.3,-1.232
1/3/2023 12:15,212.3,-2.69
1/3/2023 12:30,212.3,-2.122
1/3/2023 12:45,212.3,-1.596
1/3/2023 13:00,212.3,-1.171
1/3/2023 13:15,212.3,-1.798
1/3/2023 13:30,212.3,-1.262
1/3/2023 13:45,212.3,-0.846
1/3/2023 14:00,212.3,-1.494
1/3/2023 14:15,212.2,-1.818
1/3/2023 14:30,212.3,-2.021
1/3/2023 14:45,212.3,-2.122
1/3/2023 15:00,212.3,-2.082
1/3/2023 15:15,212.3,-1.98
1/3/2023 15:30,212.2,-1.808
1/3/2023 15:45,212.2,-1.636
1/3/2023 16:00,212.2,-1.666
1/3/2023 16:15,212.2,-1.15
1/3/2023 16:30,212.3,-0.816
1/3/2023 16:45,212.3,-1.444
1/3/2023 17:00,212.2,-1.535
1/3/2023 17:15,212.3,-1.585
1/3/2023 17:30,212.2,-1.474
1/3/2023 17:45,212.3,-1.19
1/3/2023 18:00,212.3,-0.32
1/3/2023 18:15,212.2,-0.159
1/3/2023 18:30,212.3,-0.159
1/3/2023 18:45,212.3,-0.078
1/3/2023 19:00,212.3,-0.968
1/3/2023 19:15,212.3,-0.442
1/3/2023 19:30,212.3,0.145
1/3/2023 19:45,212.3,-2.082
1/3/2023 20:00,212.1,-2.648
1/3/2023 20:15,212.3,-2.648
1/3/2023 20:30,212.3,-2.669
1/3/2023 20:45,212.2,-2.568
1/3/2023 21:00,212.2,-2.446
1/3/2023 21:15,212.2,-2.112
1/3/2023 21:30,212.3,-2.648
1/3/2023 21:45,212.3,-2.648
1/3/2023 22:00,212.3,-2.69
1/3/2023 22:15,212.3,-2.446
1/3/2023 22:30,212.3,-2.284
1/3/2023 22:45,212.2,-2.386
1/3/2023 23:00,212.3,-2.345
1/3/2023 23:15,212.3,-2.244
1/3/2023 23:30,212.3,-1.898
1/3/2023 23:45,212.3,-1.525
1/4/2023 0:00,212.2,-1.232
1/4/2023 0:15,212.3,-0.948
1/4/2023 0:30,212.3,0.692
1/4/2023 0:45,212.3,-0.563
1/4/2023 1:00,212.3,-1.028
1/4/2023 1:15,212.3,-0.33
1/4/2023 1:30,212.3,-1.505
1/4/2023 1:45,212.3,-1.898
1/4/2023 2:00,212.3,0.003
1/4/2023 2:15,212.3,0.003
1/4/2023 2:30,212.3,-0.401
1/4/2023 2:45,212.3,-0.532
1/4/2023 3:00,212.2,-0.876
1/4/2023 3:15,212.3,-0.27
1/4/2023 3:30,212.2,-0.766
1/4/2023 3:45,212.3,-1.09
1/4/2023 4:00,212.3,-0.704
1/4/2023 4:15,212.3,0.499
1/4/2023 4:30,212.3,0.55
1/4/2023 4:45,212.3,0.842
1/4/2023 5:00,212.3,0.57
1/4/2023 5:15,212.3,0.67
1/4/2023 5:30,212.3,0.904
1/4/2023 5:45,212.3,1.056
1/4/2023 6:00,212.3,0.651
1/4/2023 6:15,212.3,-0.401
1/4/2023 6:30,212.3,0.57
1/4/2023 6:45,212.3,0.458
1/4/2023 7:00,212.3,-2.405
1/4/2023 7:15,212.3,-2.648
1/4/2023 7:30,212.2,-2.446
1/4/2023 7:45,212.2,-2.112
1/4/2023 8:00,212.2,-1.028
1/4/2023 8:15,212.3,1.137
1/4/2023 8:30,212.3,1.196
1/4/2023 8:45,212.3,1.369
1/4/2023 9:00,212.3,1.744
1/4/2023 9:15,212.3,2.148
1/4/2023 9:30,212.2,2.512
1/4/2023 9:45,212.2,2.45
1/4/2023 10:00,212.2,2.774
1/4/2023 10:15,212.2,3.198
1/4/2023 10:30,212.2,2.997
1/4/2023 10:45,212.2,3.34
1/4/2023 11:00,212.3,3.331
1/4/2023 11:15,212.1,3.794
1/4/2023 11:30,212.1,3.976
1/4/2023 11:45,212.2,3.946
1/4/2023 12:00,212.1,3.804
1/4/2023 12:15,212.1,3.987
1/4/2023 12:30,212.1,4.138
1/4/2023 12:45,212.1,3.956
1/4/2023 13:00,212.1,4.27
1/4/2023 13:15,212.1,4.38
1/4/2023 13:30,212,4.27
1/4/2023 13:45,212.1,4.189
1/4/2023 14:00,212.1,3.936
1/4/2023 14:15,212.1,4.108
1/4/2023 14:30,212,4.128
1/4/2023 14:45,212,4.057
1/4/2023 15:00,212,4.219
1/4/2023 15:15,212,4.432
1/4/2023 15:30,212,4.108
1/4/2023 15:45,212.1,4.028
1/4/2023 16:00,212.1,3.804
1/4/2023 16:15,212.4,3.825
1/4/2023 16:30,212,3.744
1/4/2023 16:45,212,3.694
1/4/2023 17:00,212.1,4.018
1/4/2023 17:15,212,4.118
1/4/2023 17:30,212,3.987
1/4/2023 17:45,212.1,4.108
1/4/2023 18:00,212.1,3.784
1/4/2023 18:15,212.1,4.17
1/4/2023 18:30,212,4.25
1/4/2023 18:45,211.8,4.057
1/4/2023 19:00,212.1,4.047
1/4/2023 19:15,212.1,3.896
1/4/2023 19:30,212,3.876
1/4/2023 19:45,212,3.946
1/4/2023 20:00,212,4.27
1/4/2023 20:15,212,4.27
1/4/2023 20:30,212.1,4.492
1/4/2023 20:45,212,4.583
1/4/2023 21:00,212,4.492
1/4/2023 21:15,212,4.643
1/4/2023 21:30,212.1,4.37
1/4/2023 21:45,212,5.098
1/4/2023 22:00,212,4.866
1/4/2023 22:15,212,5.159
1/4/2023 22:30,212,4.734
1/4/2023 22:45,212,4.714
1/4/2023 23:00,212,5.18
1/4/2023 23:15,212,5.442
1/4/2023 23:30,212,4.956
1/4/2023 23:45,212,4.633
1/5/2023 0:00,212,4.744
1/5/2023 0:15,212,3.482
1/5/2023 0:30,212,4.532
1/5/2023 0:45,212,4.643
1/5/2023 1:00,212,4.512
1/5/2023 1:15,212.1,4.734
1/5/2023 1:30,211.8,4.916
1/5/2023 1:45,212,4.927
1/5/2023 2:00,212,5.462
1/5/2023 2:15,212.1,5.2
1/5/2023 2:30,212,4.814
1/5/2023 2:45,212,4.876
1/5/2023 3:00,212.1,5.098
1/5/2023 3:15,212,5.39
1/5/2023 3:30,212.2,5.19
1/5/2023 3:45,212.3,5.462
1/5/2023 4:00,212,5.845
1/5/2023 4:15,211.9,6.047
1/5/2023 4:30,211.8,5.653
1/5/2023 4:45,211.9,5.562
1/5/2023 5:00,212.1,5.502
1/5/2023 5:15,212,5.39
1/5/2023 5:30,211.9,5.32
1/5/2023 5:45,212.2,5.643
1/5/2023 6:00,212,6.29
1/5/2023 6:15,211.9,6.38
1/5/2023 6:30,212,7.138
1/5/2023 6:45,212,6.148
1/5/2023 7:00,212,6.148
1/5/2023 7:15,212,6.29
1/5/2023 7:30,211.9,6.714
1/5/2023 7:45,211.8,6.138
1/5/2023 8:00,211.9,5.896
1/5/2023 8:15,211.9,6.158
1/5/2023 8:30,211.9,5.946
1/5/2023 8:45,211.9,6.088
1/5/2023 9:00,211.7,6.269
1/5/2023 9:15,212,6.5
1/5/2023 9:30,211.9,6.43
1/5/2023 9:45,211.8,6.532
1/5/2023 10:00,211.9,5.604
1/5/2023 10:15,212,5.502
1/5/2023 10:30,211.8,5.814
1/5/2023 10:45,212.1,6.199
1/5/2023 11:00,212,6.269
1/5/2023 11:15,212.1,5.986
1/5/2023 11:30,211.8,6.168
1/5/2023 11:45,211.9,6.592
1/5/2023 12:00,211.9,6.854
1/5/2023 12:15,211.9,6.946
1/5/2023 12:30,211.9,6.613
1/5/2023 12:45,211.9,6.673
1/5/2023 13:00,211.9,6.774
1/5/2023 13:15,211.9,7.328
1/5/2023 13:30,211.9,7.198
1/5/2023 13:45,211.9,7.036
1/5/2023 14:00,212,5.34
1/5/2023 14:15,212,5.371
1/5/2023 14:30,212.1,5.633
1/5/2023 14:45,212.1,5.916
1/5/2023 15:00,212.1,5.562
1/5/2023 15:15,212.1,5.4
1/5/2023 15:30,212.1,2.612
1/5/2023 15:45,212.1,2.33
1/5/2023 16:00,212.2,2.128
1/5/2023 16:15,212.4,2.471
1/5/2023 16:30,212.5,2.228
1/5/2023 16:45,212.5,2.35
1/5/2023 17:00,212.6,2.401
1/5/2023 17:15,212.6,3.502
1/5/2023 17:30,212.7,3.603
1/5/2023 17:45,212.7,3.512
1/5/2023 18:00,212.7,3.846
1/5/2023 18:15,213.1,3.866
1/5/2023 18:30,213.4,3.966
1/5/2023 18:45,213.4,3.32
1/5/2023 19:00,213.4,3.098
1/5/2023 19:15,213.4,3.623
1/5/2023 19:30,213.4,4.17
1/5/2023 19:45,213.4,3.906
1/5/2023 20:00,213.4,3.451
1/5/2023 20:15,213.5,3.584
1/5/2023 20:30,213.4,3.542
1/5/2023 20:45,213.4,3.34
1/5/2023 21:00,213.4,3.765
1/5/2023 21:15,213.4,3.654
1/5/2023 21:30,213.4,3.442
1/5/2023 21:45,213.4,2.228
1/5/2023 22:00,213.4,2.814
1/5/2023 22:15,213.5,3.138
1/5/2023 22:30,213.4,3.28
1/5/2023 22:45,213.4,3.623
1/5/2023 23:00,213.4,3.471
1/5/2023 23:15,213.4,2.046
1/5/2023 23:30,213.4,2.046
1/5/2023 23:45,213.4,1.884
1/6/2023 0:00,213.5,1.935
1/6/2023 0:15,213.9,2.087
1/6/2023 0:30,214.2,1.986
1/6/2023 0:45,214.3,1.591
1/6/2023 1:00,214.3,1.722
1/6/2023 1:15,214.3,1.702
1/6/2023 1:30,214.3,1.996
1/6/2023 1:45,214.3,2.128
1/6/2023 2:00,214.3,2.288
1/6/2023 2:15,214.4,1.996
1/6/2023 2:30,214.3,2.087
1/6/2023 2:45,214.4,1.915
1/6/2023 3:00,214.3,1.864
1/6/2023 3:15,214.4,1.824
1/6/2023 3:30,214.4,2.046
1/6/2023 3:45,214.6,1.954
1/6/2023 4:00,214.8,1.824
1/6/2023 4:15,215.1,2.188
1/6/2023 4:30,215.5,1.884
1/6/2023 4:45,215.8,1.753
1/6/2023 5:00,216.1,1.582
1/6/2023 5:15,216.2,1.702
1/6/2023 5:30,216.7,1.48
1/6/2023 5:45,216.8,1.439
1/6/2023 6:00,217.1,1.52
1/6/2023 6:15,217.1,1.713
1/6/2023 6:30,217.2,1.915
1/6/2023 6:45,217.2,1.976
1/6/2023 7:00,217.2,2.087
1/6/2023 7:15,217.2,2.168
1/6/2023 7:30,217.2,2.158
1/6/2023 7:45,217.2,2.492
1/6/2023 8:00,217.2,2.836
1/6/2023 8:15,217.2,1.824
1/6/2023 8:30,217.2,1.906
1/6/2023 8:45,217.2,2.188
1/6/2023 9:00,217.2,0.54
1/6/2023 9:15,217.2,0.418
1/6/2023 9:30,217.2,0.792
1/6/2023 9:45,217.1,1.277
1/6/2023 10:00,217.3,1.906
1/6/2023 10:15,217.3,2.249
1/6/2023 10:30,217.3,2.754
1/6/2023 10:45,217.2,3.188
1/6/2023 11:00,217.2,3.442
1/6/2023 11:15,217.2,3.562
1/6/2023 11:30,217.2,3.664
1/6/2023 11:45,217.2,3.775
1/6/2023 12:00,217.2,3.927
1/6/2023 12:15,217.2,4.028
1/6/2023 12:30,217.2,3.917
1/6/2023 12:45,217.2,3.886
1/6/2023 13:00,217.1,3.966
1/6/2023 13:15,217.2,4.088
1/6/2023 13:30,217.2,4.26
1/6/2023 13:45,217.2,4.25
1/6/2023 14:00,217.2,4.432
1/6/2023 14:15,217.2,4.502
1/6/2023 14:30,217.2,4.643
1/6/2023 14:45,217.1,5.048
1/6/2023 15:00,217.1,5.229
1/6/2023 15:15,217.1,5.26
1/6/2023 15:30,217.1,5.442
1/6/2023 15:45,217.1,5.238
1/6/2023 16:00,217,6.43
1/6/2023 16:15,217,6.098
1/6/2023 16:30,217.1,5.38
1/6/2023 16:45,217,4.775
1/6/2023 17:00,217,3.35
1/6/2023 17:15,217,3.562
1/6/2023 17:30,217,3.198
1/6/2023 17:45,217,2.875
1/6/2023 18:00,216.9,2.188
1/6/2023 18:15,216.9,2.401
1/6/2023 18:30,217,2.148
1/6/2023 18:45,217.1,2.116
1/6/2023 19:00,217.1,1.864
1/6/2023 19:15,217.1,1.744
1/6/2023 19:30,217,1.318
1/6/2023 19:45,217.1,1.47
1/6/2023 20:00,217.2,1.318
1/6/2023 20:15,217.1,1.5
1/6/2023 20:30,217.1,1.196
1/6/2023 20:45,217.2,0.782
1/6/2023 21:00,217.1,0.954
1/6/2023 21:15,217.2,1.4
1/6/2023 21:30,217.2,1.783
1/6/2023 21:45,217.2,2.45
1/6/2023 22:00,217.2,2.703
1/6/2023 22:15,217.2,2.643
1/6/2023 22:30,217.2,3.188
1/6/2023 22:45,217.2,3.34
1/6/2023 23:00,217.2,3.26
1/6/2023 23:15,217.1,3.461
1/6/2023 23:30,217.1,3.299
1/6/2023 23:45,217.1,2.956
1/7/2023 0:00,217,3.098
1/7/2023 0:15,217,2.976
1/7/2023 0:30,217.1,2.875
1/7/2023 0:45,217.5,3.026
1/7/2023 1:00,217.1,2.986
1/7/2023 1:15,217.1,3.299
1/7/2023 1:30,217.1,3.38
1/7/2023 1:45,217,3.38
1/7/2023 2:00,217.1,2.997
1/7/2023 2:15,217.1,2.916
1/7/2023 2:30,217.1,2.814
1/7/2023 2:45,217.1,3.036
1/7/2023 3:00,217.1,3.239
1/7/2023 3:15,217.1,3.331
1/7/2023 3:30,217.1,3.218
1/7/2023 3:45,217.1,3.562
1/7/2023 4:00,217.1,3.239
1/7/2023 4:15,217,3.37
1/7/2023 4:30,217.1,3.846
1/7/2023 4:45,217.1,3.876
1/7/2023 5:00,217,3.594
1/7/2023 5:15,216.9,3.876
1/7/2023 5:30,217.1,3.078
1/7/2023 5:45,217.1,3.34
1/7/2023 6:00,217.1,3.562
1/7/2023 6:15,217.1,3.784
1/7/2023 6:30,217.1,3.804
1/7/2023 6:45,217.1,3.765
1/7/2023 7:00,216.9,4.189
1/7/2023 7:15,217.1,4.078
1/7/2023 7:30,217.1,4.37
1/7/2023 7:45,216.9,4.008
1/7/2023 8:00,216.9,4.472
1/7/2023 8:15,217,4.351
1/7/2023 8:30,216.9,4.209
1/7/2023 8:45,216.9,4.32
1/7/2023 9:00,217,4.098
1/7/2023 9:15,217,4.189
1/7/2023 9:30,217.1,4.795
1/7/2023 9:45,217.1,4.472
1/7/2023 10:00,217.1,4.654
1/7/2023 10:15,216.9,4.876
1/7/2023 10:30,217,4.814
1/7/2023 10:45,216.8,4.956
1/7/2023 11:00,217,4.947
1/7/2023 11:15,216.9,5.532
1/7/2023 11:30,217.3,5.238
1/7/2023 11:45,216.8,5.2
1/7/2023 12:00,216.6,5.522
1/7/2023 12:15,216.9,5.926
1/7/2023 12:30,216.9,6.29
1/7/2023 12:45,216.8,5.996
1/7/2023 13:00,216.8,7.359
1/7/2023 13:15,216.9,7.874
1/7/2023 13:30,217,6.956
1/7/2023 13:45,216.9,7.056
1/7/2023 14:00,216.5,6.774
1/7/2023 14:15,216.6,7.299
1/7/2023 14:30,216.7,7.38
1/7/2023 14:45,216.8,6.875
1/7/2023 15:00,216.6,7.118
1/7/2023 15:15,216.7,6.854
1/7/2023 15:30,216.7,6.582
1/7/2023 15:45,216.6,6.824
1/7/2023 16:00,216.7,6.733
1/7/2023 16:15,216.8,6.592
1/7/2023 16:30,216.7,6.642
1/7/2023 16:45,216.7,6.552
1/7/2023 17:00,216.8,6.43
1/7/2023 17:15,216.7,6.562
1/7/2023 17:30,216.7,6.683
1/7/2023 17:45,216.6,7.076
1/7/2023 18:00,216.8,6.642
1/7/2023 18:15,216.7,6.088
1/7/2023 18:30,216.8,5.946
1/7/2023 18:45,216.8,5.966
1/7/2023 19:00,216.7,6.421
1/7/2023 19:15,216.8,6.552
1/7/2023 19:30,216.8,6.572
1/7/2023 19:45,216.8,6.704
1/7/2023 20:00,216.8,6.28
1/7/2023 20:15,216.7,5.926
1/7/2023 20:30,216.7,5.814
1/7/2023 20:45,216.6,5.643
1/7/2023 21:00,216.8,5.522
1/7/2023 21:15,216.8,5.159
1/7/2023 21:30,216.8,5.361
1/7/2023 21:45,216.6,5.26
1/7/2023 22:00,216.8,5.482
1/7/2023 22:15,216.9,5.4
1/7/2023 22:30,216.9,5.3
1/7/2023 22:45,216.8,5.3
1/7/2023 23:00,216.9,5.371
1/7/2023 23:15,216.9,5.229
1/7/2023 23:30,216.9,5.361
1/7/2023 23:45,216.7,5.38
1/8/2023 0:00,216.9,5.522
1/8/2023 0:15,216.8,5.845
1/8/2023 0:30,216.4,5.502
1/8/2023 0:45,216.8,5.118
1/8/2023 1:00,216.8,5.098
1/8/2023 1:15,217,4.896
1/8/2023 1:30,216.8,4.976
1/8/2023 1:45,216.9,4.754
1/8/2023 2:00,216.6,4.724
1/8/2023 2:15,216.8,4.856
1/8/2023 2:30,216.4,5.078
1/8/2023 2:45,216.9,4.896
1/8/2023 3:00,216.9,5.4
1/8/2023 3:15,216.8,6.35
1/8/2023 3:30,217.3,6.209
1/8/2023 3:45,216.7,6.41
1/8/2023 4:00,216.9,6.421
1/8/2023 4:15,216.8,2.997
1/8/2023 4:30,217.1,4.17
1/8/2023 4:45,216.7,6.41
1/8/2023 5:00,217.1,6.189
1/8/2023 5:15,216.8,6.199
1/8/2023 5:30,216.8,6.39
